config,trial,success,latency_s,est_cost_usd,exec_confidence,semantic_relevance,historical_reliability,metadata_completeness,context_alignment,review_score,warning_count,hard_failure_count,artifact_count,metric_row_count,run_dir
c4_wo_dualspace,1,True,130.02,1.119305,0.8724999999999999,0.8500000000000001,0.7,1.0,1.0,1.0,0,0,6,22,D:\GitHub_1\world_agent\urban-mobility-agent\paper4_urban_svgagent\case_studies\case1_heritage\runs\20260509_173523_c4_wo_dualspace_t1
c4_wo_dualspace,2,True,124.78,1.081485,0.7943749999999999,0.7125,0.7,1.0,0.8,1.0,0,0,6,22,D:\GitHub_1\world_agent\urban-mobility-agent\paper4_urban_svgagent\case_studies\case1_heritage\runs\20260509_173735_c4_wo_dualspace_t2
c4_wo_dualspace,3,True,116.38,1.076655,0.7775,0.675,0.7,1.0,0.775,1.0,5,0,6,22,D:\GitHub_1\world_agent\urban-mobility-agent\paper4_urban_svgagent\case_studies\case1_heritage\runs\20260509_173940_c4_wo_dualspace_t3
c5_wo_memory,1,True,124.88,1.090835,0.8724999999999999,0.8500000000000001,0.7,1.0,1.0,1.0,0,0,6,22,D:\GitHub_1\world_agent\urban-mobility-agent\paper4_urban_svgagent\case_studies\case1_heritage\runs\20260509_174136_c5_wo_memory_t1
c5_wo_memory,2,True,131.45,1.10954,0.831875,0.7875000000000001,0.7,1.0,0.875,1.0,0,0,6,22,D:\GitHub_1\world_agent\urban-mobility-agent\paper4_urban_svgagent\case_studies\case1_heritage\runs\20260509_174341_c5_wo_memory_t2
c5_wo_memory,3,True,132.65,1.103015,0.8724999999999999,0.8500000000000001,0.7,1.0,1.0,1.0,0,0,6,22,D:\GitHub_1\world_agent\urban-mobility-agent\paper4_urban_svgagent\case_studies\case1_heritage\runs\20260509_174552_c5_wo_memory_t3
c6_vanilla,1,True,27.69,0.423365,,,,,,,0,0,0,22,D:\GitHub_1\world_agent\urban-mobility-agent\paper4_urban_svgagent\case_studies\case1_heritage\runs\20260509_174805_c6_vanilla_t1
c6_vanilla,2,True,28.53,0.426285,,,,,,,0,0,0,22,D:\GitHub_1\world_agent\urban-mobility-agent\paper4_urban_svgagent\case_studies\case1_heritage\runs\20260509_174833_c6_vanilla_t2
c6_vanilla,3,True,23.71,0.421555,,,,,,,0,0,0,22,D:\GitHub_1\world_agent\urban-mobility-agent\paper4_urban_svgagent\case_studies\case1_heritage\runs\20260509_174901_c6_vanilla_t3
